date,n1,n2,n3,n4,n5,s1,s2
2004-02-13,16.0,29.0,32.0,36.0,41.0,7.0,9.0
2004-02-20,13.0,39.0,47.0,50.0,7.0,2.0,5.0
2004-02-27,14.0,18.0,19.0,31.0,37.0,4.0,5.0
2004-03-05,33.0,37.0,39.0,4.0,7.0,1.0,5.0
2004-03-12,15.0,24.0,28.0,44.0,47.0,4.0,5.0
2004-03-19,33.0,36.0,37.0,42.0,45.0,4.0,9.0
2004-03-26,10.0,23.0,3.0,4.0,43.0,2.0,4.0
2004-04-02,12.0,24.0,27.0,36.0,4.0,2.0,9.0
2004-04-09,1.0,10.0,19.0,23.0,4.0,2.0,8.0
2004-04-16,14.0,15.0,28.0,35.0,40.0,1.0,3.0
2004-04-23,10.0,21.0,45.0,49.0,6.0,3.0,5.0
2004-04-30,16.0,23.0,27.0,5.0,6.0,6.0,7.0
2004-05-07,15.0,16.0,21.0,36.0,38.0,1.0,5.0
2004-05-14,1.0,21.0,3.0,32.0,39.0,2.0,6.0
2004-05-21,15.0,29.0,37.0,39.0,49.0,4.0,9.0
2004-05-28,11.0,35.0,41.0,44.0,6.0,5.0,6.0
2004-06-04,13.0,34.0,41.0,42.0,9.0,3.0,7.0
2004-06-11,10.0,2.0,47.0,7.0,8.0,1.0,7.0
2004-06-18,2.0,23.0,28.0,40.0,43.0,2.0,6.0
2004-06-25,21.0,3.0,30.0,34.0,35.0,1.0,2.0
2004-07-02,23.0,24.0,28.0,34.0,4.0,1.0,3.0
2004-07-09,12.0,19.0,2.0,44.0,5.0,8.0,9.0
2004-07-16,24.0,26.0,31.0,38.0,50.0,5.0,8.0
2004-07-23,10.0,27.0,31.0,34.0,7.0,3.0,8.0
2004-07-30,10.0,19.0,37.0,50.0,9.0,1.0,6.0
2004-08-06,15.0,24.0,35.0,44.0,5.0,5.0,6.0
2004-08-13,20.0,27.0,41.0,43.0,50.0,5.0,8.0
2004-08-20,10.0,27.0,35.0,6.0,9.0,6.0,8.0
2004-08-27,1.0,11.0,22.0,28.0,44.0,1.0,9.0
2004-09-03,12.0,14.0,15.0,34.0,8.0,6.0,7.0
2004-09-10,25.0,33.0,36.0,38.0,5.0,2.0,5.0
2004-09-17,15.0,18.0,29.0,39.0,41.0,5.0,8.0
2004-09-24,21.0,26.0,27.0,44.0,48.0,1.0,7.0
2004-10-01,12.0,20.0,21.0,45.0,48.0,5.0,6.0
2004-10-08,1.0,10.0,12.0,16.0,48.0,2.0,6.0
2004-10-15,14.0,21.0,22.0,37.0,43.0,5.0,8.0
2004-10-22,1.0,23.0,25.0,40.0,9.0,3.0,9.0
2004-10-29,1.0,32.0,35.0,38.0,8.0,4.0,9.0
2004-11-05,19.0,25.0,42.0,49.0,6.0,1.0,7.0
2004-11-12,11.0,12.0,13.0,32.0,4.0,3.0,9.0
2004-11-19,1.0,18.0,29.0,34.0,37.0,2.0,6.0
2004-11-26,1.0,24.0,34.0,36.0,4.0,6.0,8.0
2004-12-03,1.0,11.0,15.0,42.0,49.0,3.0,4.0
2004-12-10,1.0,13.0,16.0,3.0,43.0,2.0,7.0
2004-12-17,15.0,19.0,22.0,46.0,49.0,2.0,9.0
2004-12-24,27.0,29.0,3.0,37.0,4.0,5.0,6.0
2004-12-31,24.0,25.0,47.0,7.0,8.0,8.0,9.0
2005-01-07,23.0,27.0,3.0,47.0,50.0,2.0,3.0
2005-01-14,11.0,14.0,19.0,29.0,6.0,1.0,3.0
2005-01-21,10.0,12.0,14.0,24.0,26.0,5.0,8.0
2005-01-28,21.0,26.0,43.0,45.0,7.0,5.0,7.0
2005-02-04,1.0,11.0,30.0,40.0,8.0,7.0,8.0
2005-02-11,11.0,13.0,25.0,32.0,50.0,4.0,7.0
2005-02-18,20.0,21.0,26.0,32.0,46.0,8.0,9.0
2005-02-25,27.0,3.0,30.0,43.0,44.0,4.0,8.0
2005-03-04,12.0,24.0,32.0,37.0,39.0,7.0,9.0
2005-03-11,12.0,23.0,40.0,43.0,8.0,1.0,4.0
2005-03-18,23.0,39.0,43.0,48.0,6.0,5.0,7.0
2005-03-25,29.0,33.0,37.0,38.0,4.0,6.0,9.0
2005-04-01,25.0,26.0,41.0,44.0,47.0,3.0,7.0
2005-04-08,11.0,25.0,31.0,50.0,7.0,1.0,3.0
2005-04-15,28.0,31.0,38.0,42.0,6.0,3.0,9.0
2005-04-22,10.0,13.0,24.0,3.0,47.0,5.0,9.0
2005-04-29,3.0,35.0,39.0,42.0,9.0,1.0,8.0
2005-05-06,12.0,21.0,26.0,44.0,7.0,6.0,8.0
2005-05-13,12.0,17.0,31.0,32.0,40.0,2.0,9.0
2005-05-20,13.0,28.0,47.0,6.0,7.0,5.0,8.0
2005-05-27,2.0,24.0,31.0,48.0,50.0,4.0,9.0
2005-06-03,11.0,17.0,3.0,50.0,8.0,1.0,5.0
2005-06-10,32.0,37.0,47.0,6.0,7.0,1.0,7.0
2005-06-17,10.0,18.0,21.0,4.0,8.0,1.0,7.0
2005-06-24,14.0,15.0,45.0,6.0,8.0,7.0,8.0
2005-07-01,23.0,25.0,28.0,4.0,5.0,3.0,4.0
2005-07-08,35.0,36.0,42.0,46.0,49.0,2.0,8.0
2005-07-15,1.0,11.0,12.0,23.0,42.0,3.0,6.0
2005-07-22,14.0,3.0,41.0,48.0,49.0,1.0,4.0
2005-07-29,19.0,26.0,3.0,49.0,50.0,4.0,5.0
2005-08-05,11.0,2.0,21.0,22.0,30.0,4.0,6.0
2005-08-12,15.0,23.0,30.0,37.0,40.0,7.0,9.0
2005-08-19,11.0,24.0,29.0,31.0,41.0,1.0,3.0
2005-08-26,29.0,35.0,40.0,41.0,9.0,1.0,6.0
2005-09-02,14.0,3.0,4.0,43.0,50.0,3.0,6.0
2005-09-09,12.0,19.0,31.0,50.0,8.0,6.0,7.0
2005-09-16,12.0,13.0,19.0,21.0,38.0,3.0,9.0
2005-09-23,1.0,26.0,31.0,34.0,47.0,4.0,9.0
2005-09-30,11.0,47.0,48.0,50.0,6.0,1.0,6.0
2005-10-07,13.0,2.0,21.0,26.0,44.0,3.0,9.0
2005-10-14,10.0,11.0,19.0,20.0,23.0,1.0,6.0
2005-10-21,1.0,14.0,19.0,29.0,33.0,1.0,8.0
2005-10-28,14.0,36.0,44.0,47.0,50.0,3.0,5.0
2005-11-04,26.0,36.0,37.0,38.0,42.0,2.0,6.0
2005-11-11,15.0,16.0,36.0,41.0,42.0,3.0,5.0
2005-11-18,17.0,18.0,25.0,34.0,48.0,2.0,3.0
2005-11-25,1.0,27.0,39.0,47.0,6.0,1.0,6.0
2005-12-02,1.0,20.0,23.0,30.0,9.0,4.0,7.0
2005-12-09,11.0,18.0,35.0,38.0,42.0,1.0,5.0
